pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-23 11:48:50,2019-03-23 12:06:14,1,3.63,15.0,1.0,0.0,19.3,yellow,credit card,East Harlem South,Midtown Center,Manhattan,Manhattan
2019-03-05 15:39:52,2019-03-05 15:44:51,3,0.92,5.5,0.0,0.0,8.8,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan
2019-03-31 15:21:11,2019-03-31 15:37:28,2,1.8,11.0,1.0,0.0,15.3,yellow,credit card,East Village,West Village,Manhattan,Manhattan
2019-03-07 13:07:41,2019-03-07 13:22:19,6,1.7,10.5,2.75,0.0,16.55,yellow,credit card,Midtown Center,Union Sq,Manhattan,Manhattan
2019-03-06 13:33:16,2019-03-06 13:44:52,1,1.04,8.5,3.54,0.0,15.34,yellow,credit card,West Village,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-24 12:24:59,2019-03-24 12:33:26,1,1.72,8.0,3.39,0.0,14.69,yellow,credit card,Lenox Hill East,Midtown East,Manhattan,Manhattan
2019-03-16 17:54:48,2019-03-16 18:30:32,1,6.34,27.5,6.0,0.0,36.8,yellow,credit card,Penn Station/Madison Sq West,East Williamsburg,Manhattan,Brooklyn
2019-03-15 15:39:44,2019-03-15 16:36:49,2,16.3,52.0,10.0,5.76,71.06,yellow,credit card,UN/Turtle Bay South,JFK Airport,Manhattan,Queens
2019-03-08 18:59:13,2019-03-08 19:13:39,1,1.79,10.5,2.96,0.0,17.76,yellow,credit card,Gramercy,Lower East Side,Manhattan,Manhattan
2019-03-06 07:49:53,2019-03-06 07:54:25,2,0.82,5.0,0.0,0.0,8.3,yellow,cash,Hudson Sq,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-23 02:18:09,2019-03-23 02:32:25,5,3.79,14.0,3.06,0.0,18.36,yellow,credit card,Williamsburg (North Side),Crown Heights North,Brooklyn,Brooklyn
2019-03-20 22:06:04,2019-03-20 22:14:08,2,1.4,7.5,1.0,0.0,12.3,yellow,credit card,Garment District,Flatiron,Manhattan,Manhattan
2019-03-06 13:58:42,2019-03-06 14:12:15,1,0.8,9.0,1.5,0.0,13.8,yellow,credit card,Midtown North,Midtown East,Manhattan,Manhattan
2019-03-23 19:54:25,2019-03-23 20:03:42,5,1.54,8.0,2.26,0.0,13.56,yellow,credit card,East Village,Kips Bay,Manhattan,Manhattan
2019-03-21 16:54:37,2019-03-21 17:02:59,1,0.8,6.5,1.08,0.0,11.88,yellow,credit card,Flatiron,Midtown South,Manhattan,Manhattan
2019-03-07 21:48:33,2019-03-07 22:02:02,5,3.21,12.5,4.08,0.0,20.38,yellow,credit card,Lenox Hill West,Morningside Heights,Manhattan,Manhattan
2019-03-29 20:39:03,2019-03-29 20:50:16,5,1.44,8.5,2.46,0.0,14.76,yellow,credit card,East Chelsea,West Village,Manhattan,Manhattan
2019-03-11 10:21:33,2019-03-11 10:34:36,1,1.1,9.5,3.8,0.0,16.6,yellow,credit card,Midtown North,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-24 19:53:51,2019-03-24 20:00:07,1,1.74,7.5,2.16,0.0,12.96,yellow,credit card,Upper East Side North,Upper West Side North,Manhattan,Manhattan
2019-03-30 11:00:02,2019-03-30 11:10:11,6,2.89,11.0,5.0,0.0,19.3,yellow,credit card,Long Island City/Queens Plaza,UN/Turtle Bay South,Queens,Manhattan
2019-03-01 15:52:51,2019-03-01 15:59:14,1,0.99,6.0,1.86,0.0,11.16,yellow,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-20 10:25:52,2019-03-20 11:02:20,1,4.2,23.0,5.25,0.0,31.55,yellow,credit card,Hudson Sq,Upper East Side South,Manhattan,Manhattan
2019-03-31 21:26:33,2019-03-31 21:36:16,1,1.7,8.5,3.05,0.0,15.35,yellow,credit card,Union Sq,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-20 20:59:25,2019-03-20 21:02:50,1,0.5,4.5,1.66,0.0,9.96,yellow,credit card,Midtown North,Lincoln Square East,Manhattan,Manhattan
2019-03-04 07:07:14,2019-03-04 07:11:15,1,0.69,5.0,2.08,0.0,10.38,yellow,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-29 09:00:11,2019-03-29 09:18:53,3,2.5,13.5,4.2,0.0,21.0,yellow,credit card,Upper West Side North,Lenox Hill West,Manhattan,Manhattan
2019-03-20 00:55:55,2019-03-20 01:09:46,5,2.44,11.0,2.96,0.0,17.76,yellow,credit card,East Chelsea,Lower East Side,Manhattan,Manhattan
2019-03-03 01:14:14,2019-03-03 01:23:08,1,1.23,7.5,2.26,0.0,13.56,yellow,credit card,TriBeCa/Civic Center,East Village,Manhattan,Manhattan
2019-03-28 19:07:31,2019-03-28 19:24:12,4,1.5,11.5,2.0,0.0,17.8,yellow,credit card,Penn Station/Madison Sq West,Gramercy,Manhattan,Manhattan
2019-03-14 23:37:21,2019-03-15 00:17:07,1,17.45,50.5,0.0,5.76,60.06,yellow,cash,Midtown Center,Howard Beach,Manhattan,Queens
2019-03-12 22:48:31,2019-03-12 23:18:42,2,20.25,52.0,7.94,5.76,69.0,yellow,credit card,JFK Airport,Lenox Hill East,Queens,Manhattan
2019-03-02 01:17:14,2019-03-02 01:36:17,1,3.55,14.5,2.5,0.0,20.8,yellow,credit card,Clinton East,Lower East Side,Manhattan,Manhattan
2019-03-27 12:38:06,2019-03-27 12:40:11,1,0.25,3.5,0.0,0.0,6.8,yellow,cash,Upper West Side South,Upper West Side North,Manhattan,Manhattan
2019-03-12 08:23:05,2019-03-12 08:45:47,5,4.43,19.0,3.5,0.0,25.8,yellow,credit card,Meatpacking/West Village West,Lincoln Square East,Manhattan,Manhattan
2019-03-15 14:01:54,2019-03-15 14:01:59,1,0.0,25.0,5.06,0.0,30.36,yellow,credit card,,,,
2019-03-09 16:57:24,2019-03-09 17:06:55,1,1.52,8.5,1.0,0.0,12.8,yellow,credit card,Greenwich Village South,Midtown South,Manhattan,Manhattan
2019-03-19 14:25:46,2019-03-19 14:40:25,1,1.15,10.0,0.0,0.0,13.3,yellow,cash,Penn Station/Madison Sq West,Murray Hill,Manhattan,Manhattan
